,Chucky,Hammer,Munster,Pedro,binary_alpha_digits,caltech101,caltech_birds2010,caltech_birds2011,cats_vs_dogs,cifar100,cifar10,colorectal_histology,deep_weeds,default,eurosat,fashion_mnist,horses_or_humans,mnist
Chucky,0.4039170275983843,0.4429389016087698,0.3546490198709577,0.33210174309993973,0.4027041948545322,0.36457170940111006,0.4070930203262817,0.2787859262096274,0.46205297545994173,0.44641542442162774,0.41941796620703453,0.00517235700047768,0.43166926146060075,0.48852268842831154,0.46662856715803686,0.40286666114161934,0.498110446636411,0.44874793340259017
Hammer,0.5597289477945839,0.6150993513068331,0.4247359612950169,0.5942719916375804,0.5471331834979053,0.457138703350023,0.46790345158262026,0.4054952733616898,0.31889755136316617,0.5985538127239307,0.49275839383675724,0.06673933647653359,0.583031117313757,0.6123524482124916,0.608594081633088,0.47739647508755656,0.544913353076868,0.5722420609251836
Munster,0.7731468496651968,0.8922135390041778,0.9053989907957783,0.8859001667662902,0.9158510674986766,0.8865597534245098,0.8787076311532646,0.8685415705834082,0.8780374842467624,0.9058608045983432,0.8969455529100834,0.15142254462391697,0.8847146210130667,0.8837697131619275,0.8693533185483526,0.9276115464524871,0.8076435030885994,0.9272401581360672
Pedro,0.21737362404502156,0.11857553635966205,0.23983505291833662,0.34630373642413437,0.2928467666732224,0.16735245158864337,0.26546172727318246,0.09319077705817576,0.13626345212716937,0.12220478381394559,0.1903770915638106,0.013254116103045055,0.11440363373398155,0.26225980402533244,0.14899371566084266,0.11590334170561707,0.18482334167885084,0.28516437641014186
binary_alpha_digits,0.8578537098976694,0.8873363581617152,0.903743169622197,0.8336912815517934,0.8864425425716318,0.8673696485147661,0.8695991999115822,0.8722886310622954,0.8747411593948069,0.8990737278793546,0.8860658429041732,0.16011524538695282,0.8788276220429102,0.886642905052231,0.8939532341266835,0.8881564185389124,0.8908257560711238,0.8760439699668124
caltech101,0.6912241651511477,0.6634117645521038,0.4379691601515055,0.6040969204576505,0.49481576601503824,0.6585307254576386,0.6353048288453355,0.6275904313560723,0.5427704342497405,0.689020681604921,0.4874006679169489,0.022728668550511637,0.6620787096753921,0.5302716109984166,0.5545314781419898,0.4798545975681551,0.6260868893974048,0.5701235218350167
caltech_birds2010,0.28217088617249386,0.025098897120527142,0.36453590601287605,0.2707601503878055,0.34601667419190985,0.12579449773187082,0.20040070710893806,0.061587416991583335,0.007275219749724079,0.054952789465346166,0.009982927315985636,-0.0009227579597280853,0.1279891538845446,0.08718676591623865,0.019353377882282218,0.04143946990565399,0.01506701265358619,0.34103790258714006
caltech_birds2011,0,0.0038335636205216613,0,0,0,0,0,0.006379259612425303,-0.0002116914941105962,0.006383316919815913,0.0045643588846452626,0.0011428140678563172,0,0.026678880703330254,0.014664709403073059,0.021550800942001683,0.010861526643504307,0
cats_vs_dogs,0,0,0.6329623933800123,0,0,0.6437181962110253,0.5442587351074273,0.5808294449648549,0.531760453661418,0.6575846591734573,0.5052468216711825,0.04113055886259908,0,0.5064965372577752,0.627648466089177,0.5582461425261058,0.6059684409769096,0.4980837067539302
cifar100,0.5234926281834348,0.4410916661128457,0.5176704078436482,0.3907282834611553,0.4614902123134761,0.41144517087603394,0.44667013928726973,0.3171351535942427,0.48528200352930345,0.4915000280391221,0.4845380045697903,0.013072168786597171,0.44629776725353826,0.47962336638517095,0.46098880237163203,0.4809047183394357,0.5135386302159078,0.4974590819895727
