,Chucky,Hammer,Munster,Pedro,binary_alpha_digits,caltech101,caltech_birds2010,caltech_birds2011,cats_vs_dogs,cifar100,cifar10,colorectal_histology,deep_weeds,default,eurosat,fashion_mnist,horses_or_humans,mnist
cifar10,0.6163872588877228,0.744869165175001,0.759291927520145,0.6211112196444936,0.6421935896856759,0.6256708130087687,0.6369312823746153,0.6176664663310937,0.7009415521924185,0.7071777687410163,0.704968187430705,0.035331803237083785,0.6589263831574339,0.6524281675701198,0.6962631974826735,0.6549214414381417,0.5559780345428116,0.6052078352793355
colorectal_histology,0.8389100337249948,0.8895675540692857,0.7695724972232918,0.7706668811214312,0.8048648872643873,0.8372499184671127,0.8096324522041461,0.857206122939923,0.7830227243781708,0.8679713777912289,0.8065204199760394,0.3079460077860915,0.8534890044907734,0.7748160687070875,0.8761113895994498,0.8705607122328569,0.8611032206194189,0.8317181868996147
deep_weeds,0.18585099511788378,0.3923216505619183,0.2468349780212134,0.24527360209875088,0.24658098149059787,0.1726562054800031,0.1651666893170482,0.1898417494274513,0.3024197521230404,0.30256803645944347,0.3730171257765541,0.0036633923008452,0.30807278083840595,0.22728685162403034,0.315650169017281,0.22875957212714199,0.15118251698591695,0.24638563247207695
eurosat,0.7679042864149436,0.8591994295095138,0.8129779784297891,0.6090135868104128,0.7727455108511794,0.8640566219135966,0.7904353766047795,0.8716106040412767,0.7555024469935034,0.8336237678491715,0.8690171977277737,0.2893652083210354,0.8388088913910424,0.8834144898550887,0.90242249638719,0.7395621960353773,0.8695201073884944,0.8395444769413972
fashion_mnist,0.8433131028782554,0.8927835099179271,0.8882667404955512,0.8275404379519896,0.8364105414452903,0.8519740571481325,0.820265215964608,0.8496342332634645,0.8817438113432028,0.8904152532550393,0.8763224349220033,0.22422975065975842,0.8147409362474253,0.6980280254830158,0.8509046565572813,0.8656366455314455,0.876336358236553,0.8567958870766874
horses_or_humans,0.8719239305711035,0.32683406378946833,0.8976572655226235,0.6452457729253929,0.4723278236679205,0.5398153643468335,0.8708838341976382,0.24299468876254995,0.43319921266556083,0.5664346912876339,0.6743211509387208,-0.022477221152196532,0.5840806852124469,0.7259029556901854,0.35307782212429445,0.7034152065783108,0.8118870499079833,0.4816627291896879
mnist,0.8774227355724786,0.8923919908264921,0.9021549927882828,0.8575759851102293,0.902321299749459,0.8866402516771024,0.8754569404784226,0.8571672764295014,0.8930692381203832,0.9028640711503622,0.8849824328776572,0.17955899448395543,0.8411565610437925,0.8938685530691342,0.8946143459154922,0.8817914530565695,0.8841398593415872,0.888369914962718
Decal,0.7049683277769138,0.727053194505598,0.7303181332230475,0.5449915708363705,0.7391103869004828,0.7202015264831758,0.5551829306139602,0.6664010156189059,0.721528937269793,0.6707812605680494,0.7370752273587315,0.06153777165193044,0.7136102978018712,0.5872401663107688,0.6669430536581439,0.7436652202671463,0.700692490783047,0.7063809474128445
Katze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kreatur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coil100,0.47763291247399203,0.48804911031982295,0.42296064779868336,0.4044850636333378,0.565355771859954,0.3915486714405657,0.4207629071238608,0.33127463769299936,0.467639363651385,0.5342629052292638,0.44616341067222837,-0.005004876796929336,0.41054538604557217,0.5594894505850819,0.4453093583960782,0.3412274087010533,0.4690588562852714,0.4516482188031463
kmnist,0.7606367211154861,0.8369878496914801,0.84625419570897,0.7745366911853144,0.8342674581126237,0.8159351974048128,0.8286995551058721,0.6807537806966233,0.8304184058378159,0.8188196186540863,0.8479411585574617,0.05525734360418423,0.7772589905484579,0.7962931614624675,0.7981593894616961,0.842564340680575,0.6600210503128761,0.797023000100383
oxford_flowers102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035406648857176794,0.0,-0.017321560359668635,0.0,0.030776773851915715,0.0,0.0,0.0,0.0
