,best_generalist,default
Chucky,0.80964,0.77547
Decal,0.82896,0.86431
Hammer,0.78572,0.79214
Munster,0.95184,0.98116
Pedro,0.73477,0.71179
binary_alpha_digits,0.91777,0.96541
caltech101,0.85718,0.86967
caltech_birds2010,0.62857,0.63248
caltech_birds2011,0.69133,0.68241
cats_vs_dogs,0.81685,0.87092
cifar10,0.89126,0.90235
cifar100,0.85788,0.84152
coil100,0.86890,0.85499
colorectal_histology,0.91085,0.87427
deep_weeds,0.65222,0.63372
emnist,0.85886,0.85758
eurosat,0.93772,0.97544
fashion_mnist,0.93008,0.96019
horses_or_humans,0.93215,0.96698
kmnist,0.92329,0.94842
oxford_flowers102,0.70466,0.73485
