,best_generalist,default
best_generalist,,
Chucky,0.79456,0.77290
Decal,0.84923,0.86517
Hammer,0.76924,0.78519
Munster,0.97433,0.98048
Pedro,0.67429,0.69293
binary_alpha_digits,0.94070,0.97068
caltech101,0.83186,0.86589
caltech_birds2010,0.58221,0.62243
caltech_birds2011,0.63227,0.67624
cats_vs_dogs,0.80271,0.87470
cifar10,0.90030,0.90464
cifar100,0.84575,0.84070
coil100,0.85529,0.84818
colorectal_histology,0.93942,0.94805
deep_weeds,0.62190,0.59217
emnist,0.83862,0.85004
eurosat,0.96183,0.97524
fashion_mnist,0.95070,0.96075
horses_or_humans,0.94375,0.96571
kmnist,0.94980,0.95256
oxford_flowers102,0.71282,0.72270
